"energy","L_bins","j","Daa"
63.24554,5,0.025030878932837113,7.903480436259708e-6
63.24554,6,0.026863326682376707,4.187518793209551e-6
97.97958,5,0.023401450203553515,8.40758246377088e-6
97.97958,6,0.026097704880915538,4.751886379079108e-6
138.56409,5,0.022379549158616546,8.850672317754664e-6
138.56409,6,0.018175697339778127,2.9420387506626183e-6
183.30309,5,0.027054160290910775,0.000013392453961196741
183.30309,6,0.01216511200937689,1.6947901017859827e-6
238.11758,5,0.036842220508077554,0.00002475977308504615
238.11758,6,0.02141859858345227,4.5741060618152775e-6
305.2049,5,0.04561913224854783,0.00003864194998075891
305.2049,6,0.042599784717810306,0.000016050780025118983
385.1623,5,0.05929774231462439,0.00006555111989597884
385.1623,6,0.022633070414858316,5.636873147651632e-6
520.48047,5,0.09183336506979194,0.0001563351715687626
520.48047,6,0.023804681918248083,6.490202406124872e-6
752.99396,5,0.18294533261977497,0.0006146594976689179
752.99396,6,0.16162553203764435,0.00022721438022572818
1081.6653,5,0.34224354450305233,0.0021604605884085505
1081.6653,6,0.6082240645835968,0.0031540503625211193
1529.706,5,0.3718650101280344,0.002599740135206554
2121.3203,5,0.3510153225239898,0.0023517239545104924
